10,29,9
29,10,30
21,20,0
1,21,0
34,54,53
33,34,53
34,13,14
13,34,33
15,34,14
35,34,15
170,189,169
189,170,190
189,188,168
169,189,168
151,130,131
130,151,150
10,11,30
11,31,30
32,33,53
52,32,53
13,32,12
32,13,33
11,32,31
32,11,12
49,29,30
49,30,50
28,49,48
49,28,29
149,170,169
170,149,150
360,381,380
381,360,361
382,381,362
381,361,362
393,373,394
394,373,374
359,338,339
338,359,358
338,319,339
319,338,318
305,304,284
305,284,285
286,305,285
306,305,286
134,135,155
154,134,155
159,179,158
179,178,158
219,239,238
218,219,238
179,198,178
198,179,199
198,219,218
219,198,199
276,295,275
295,276,296
276,297,296
297,276,277
273,292,272
292,273,293
312,332,311
311,332,331
217,198,218
198,217,197
198,177,178
177,198,197
217,196,197
196,217,216
177,196,176
196,177,197
196,175,176
175,196,195
175,154,155
175,174,154
234,213,214
213,234,233
175,194,174
194,175,195
213,194,214
194,213,193
196,215,195
215,196,216
194,215,214
215,194,195
215,234,214
234,215,235
173,194,193
194,173,174
173,192,172
192,173,193
174,173,154
173,153,154
151,171,150
171,170,150
173,152,153
152,173,172
152,171,151
171,152,172
152,151,131
152,131,132
29,8,9
28,8,29
41,22,42
22,41,21
22,21,1
2,22,1
207,187,208
208,187,188
129,130,150
149,129,150
148,129,149
129,148,128
148,169,168
148,149,169
389,388,368
369,389,368
367,388,387
388,367,368
361,342,362
341,342,361
360,340,361
340,341,361
384,365,385
365,384,364
363,382,362
363,383,382
363,384,383
384,363,364
340,321,341
321,340,320
342,321,322
321,342,341
300,321,320
301,321,300
302,321,301
321,302,322
302,283,303
283,302,282
303,283,304
304,283,284
241,240,220
221,241,220
241,222,242
241,221,222
241,260,240
260,241,261
262,283,282
283,262,263
241,262,261
262,241,242
302,281,282
281,302,301
262,281,261
281,262,282
281,300,280
281,301,300
281,260,261
260,281,280
315,314,294
295,315,294
313,332,312
332,313,333
313,292,293
292,313,312
314,313,294
313,293,294
334,313,314
313,334,333
334,355,354
355,334,335
334,315,335
315,334,314
353,332,333
332,353,352
353,334,354
334,353,333
373,353,374
353,354,374
349,370,369
370,349,350
370,389,369
389,370,390
370,391,390
391,370,371
351,332,352
332,351,331
370,351,371
351,370,350
351,330,331
330,351,350
372,353,373
353,372,352
351,372,371
372,351,352
372,393,392
372,373,393
372,391,371
391,372,392
39,18,19
18,39,38
159,138,139
138,159,158
152,133,153
133,152,132
133,134,154
153,133,154
319,298,299
298,319,318
310,311,331
330,310,331
228,207,208
207,228,227
231,212,232
212,231,211
212,192,193
213,212,193
212,213,233
232,212,233
70,49,50
49,70,69
51,32,52
32,51,31
31,51,30
30,51,50
51,70,50
70,51,71
129,110,130
110,129,109
130,110,131
110,111,131
212,191,192
191,212,211
191,210,190
191,211,210
192,191,172
191,171,172
170,191,190
171,191,170
8,27,7
27,8,28
27,6,7
6,27,26
21,40,20
41,40,21
4,23,3
23,4,24
23,2,3
23,22,2
25,4,5
4,25,24
25,6,26
6,25,5
25,26,46
45,25,46
101,120,100
120,101,121
167,148,168
148,167,147
146,167,166
167,146,147
167,186,166
167,187,186
188,167,168
187,167,188
160,161,180
161,181,180
182,161,162
161,182,181
221,201,222
222,201,202
182,201,181
201,182,202
200,201,220
201,221,220
201,200,180
181,201,180
310,329,309
329,310,330
329,330,350
349,329,350
348,329,349
329,348,328
367,348,368
348,367,347
348,369,368
348,349,369
326,345,325
345,326,346
326,305,306
305,326,325
386,366,387
366,367,387
367,366,347
347,366,346
366,386,385
365,366,385
366,345,346
366,365,345
324,305,325
305,324,304
287,306,286
287,307,306
316,295,296
316,315,295
397,378,398
378,397,377
358,378,357
378,377,357
398,378,399
378,379,399
359,378,358
379,378,359
34,55,54
55,34,35
55,74,54
74,55,75
178,157,158
177,157,178
55,76,75
76,55,56
138,119,139
119,138,118
98,119,118
119,98,99
99,98,79
79,98,78
295,274,275
274,295,294
273,274,293
293,274,294
209,189,190
210,209,190
189,209,188
209,208,188
70,90,69
90,89,69
90,70,71
90,71,91
89,90,109
90,110,109
110,90,111
111,90,91
101,102,121
121,102,122
120,141,140
141,120,121
141,160,140
141,161,160
348,327,328
327,348,347
307,327,306
327,326,306
327,347,346
326,327,346
323,302,303
302,323,322
323,303,304
324,323,304
329,308,309
308,329,328
327,308,328
308,327,307
262,243,263
243,262,242
317,298,318
298,317,297
297,317,296
317,316,296
376,397,396
397,376,377
377,376,357
376,356,357
37,18,38
37,17,18
58,59,78
59,79,78
39,59,38
59,58,38
156,175,155
175,156,176
156,177,176
156,157,177
95,74,75
74,95,94
98,77,78
77,98,97
111,112,131
131,112,132
51,72,71
72,51,52
254,234,235
255,254,235
274,254,275
254,255,275
237,218,238
237,217,218
239,258,238
259,258,239
237,258,257
258,237,238
251,231,232
251,232,252
291,312,311
291,292,312
27,47,26
26,47,46
47,28,48
47,27,28
49,68,48
68,49,69
68,47,48
47,68,67
148,127,128
127,148,147
146,127,147
127,146,126
108,129,128
129,108,109
127,108,128
108,127,107
64,85,84
85,64,65
63,64,83
64,84,83
22,43,42
23,43,22
81,101,100
80,81,100
102,123,122
123,102,103
84,104,83
104,103,83
85,104,84
104,85,105
123,104,124
104,123,103
124,104,125
125,104,105
146,145,126
145,125,126
365,344,345
344,365,364
345,344,325
344,324,325
182,203,202
183,203,182
203,183,184
204,203,184
315,336,335
316,336,315
336,355,335
336,356,355
355,375,354
354,375,374
375,395,394
375,394,374
376,375,356
356,375,355
395,375,396
375,376,396
36,55,35
55,36,56
16,36,15
36,35,15
17,36,16
37,36,17
98,117,97
117,98,118
134,115,135
115,134,114
95,115,94
94,115,114
57,36,37
36,57,56
57,37,38
58,57,38
57,58,78
77,57,78
57,76,56
57,77,76
113,94,114
113,93,94
133,113,134
134,113,114
113,133,132
112,113,132
73,74,94
93,73,94
54,73,53
74,73,54
73,52,53
73,72,52
92,113,112
113,92,93
73,92,72
92,73,93
92,111,91
92,112,111
71,92,91
72,92,71
253,273,272
253,272,252
253,232,233
232,253,252
253,274,273
253,254,274
234,253,233
254,253,234
256,276,275
255,256,275
276,256,277
256,257,277
298,278,299
278,279,299
278,297,277
278,298,297
279,278,259
278,258,259
257,278,277
258,278,257
250,271,270
271,250,251
271,251,252
272,271,252
292,271,272
291,271,292
287,288,307
288,308,307
308,288,309
288,289,309
290,271,291
271,290,270
310,290,311
290,291,311
290,310,309
289,290,309
66,47,67
47,66,46
66,45,46
45,66,65
66,67,87
86,66,87
66,85,65
66,86,85
127,106,107
106,127,126
125,106,126
106,125,105
106,86,87
107,106,87
86,106,85
85,106,105
68,88,67
67,88,87
89,88,69
88,68,69
88,107,87
88,108,107
88,89,109
108,88,109
64,44,65
44,45,65
44,25,45
25,44,24
44,64,63
43,44,63
44,23,24
44,43,23
43,62,42
62,43,63
142,121,122
142,141,121
161,142,162
141,142,161
186,165,166
165,186,185
165,146,166
165,145,146
343,342,322
323,343,322
342,343,362
343,363,362
343,323,324
344,343,324
363,343,364
343,344,364
222,223,242
223,243,242
223,203,204
223,204,224
223,222,202
203,223,202
205,204,184
205,184,185
265,286,285
265,266,286
265,246,266
265,245,246
338,337,318
337,317,318
337,338,358
337,358,357
317,337,316
337,336,316
356,337,357
336,337,356
135,136,155
136,156,155
96,77,97
77,96,76
76,96,75
96,95,75
217,236,216
237,236,217
215,236,235
236,215,216
236,237,257
256,236,257
236,255,235
236,256,255
229,228,208
209,229,208
226,247,246
247,226,227
61,80,60
61,81,80
61,40,41
40,61,60
61,41,42
62,61,42
82,61,62
61,82,81
102,82,103
103,82,83
82,102,101
81,82,101
82,63,83
82,62,63
123,143,122
143,142,122
206,207,227
226,206,227
187,206,186
206,187,207
186,206,185
206,205,185
206,225,205
225,206,226
225,226,246
245,225,246
204,225,224
205,225,204
223,244,243
244,223,224
244,225,245
225,244,224
138,137,118
137,117,118
137,138,158
157,137,158
156,137,157
