timestamp,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_TCP_speed_0,actual_TCP_speed_1,actual_TCP_speed_2,actual_TCP_speed_3,actual_TCP_speed_4,actual_TCP_speed_5
1457.263000,0.497665,-0.408535,0.222816,1.209249,1.209198,-1.209270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.265000,0.497697,-0.408516,0.222842,1.209223,1.209175,-1.209196,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.267000,0.497663,-0.408527,0.222839,1.209259,1.209155,-1.209230,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.269000,0.497663,-0.408525,0.222827,1.209240,1.209184,-1.209235,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.271000,0.497668,-0.408520,0.222837,1.209261,1.209150,-1.209220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.273000,0.497665,-0.408527,0.222821,1.209231,1.209203,-1.209232,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.275000,0.497668,-0.408527,0.222834,1.209257,1.209166,-1.209249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.277000,0.497668,-0.408512,0.222813,1.209205,1.209224,-1.209222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.279000,0.497678,-0.408508,0.222834,1.209233,1.209172,-1.209194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.281000,0.497677,-0.408525,0.222816,1.209223,1.209215,-1.209244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.283000,0.497672,-0.408527,0.222836,1.209260,1.209155,-1.209223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.285000,0.497673,-0.408525,0.222841,1.209245,1.209173,-1.209238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.287000,0.497663,-0.408525,0.222816,1.209227,1.209213,-1.209246,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.289000,0.497686,-0.408529,0.222840,1.209221,1.209191,-1.209218,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.291000,0.497676,-0.408512,0.222823,1.209230,1.209204,-1.209244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.293000,0.497652,-0.408522,0.222803,1.209225,1.209215,-1.209242,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.295000,0.497672,-0.408525,0.222832,1.209234,1.209194,-1.209245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.297000,0.497665,-0.408523,0.222833,1.209226,1.209203,-1.209243,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.299000,0.497669,-0.408522,0.222826,1.209239,1.209186,-1.209242,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.301000,0.497674,-0.408507,0.222820,1.209223,1.209193,-1.209216,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.303000,0.497665,-0.408521,0.222834,1.209253,1.209169,-1.209242,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.305000,0.497659,-0.408513,0.222819,1.209225,1.209207,-1.209239,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.307000,0.497682,-0.408529,0.222830,1.209232,1.209186,-1.209220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.309000,0.497680,-0.408529,0.222827,1.209255,1.209151,-1.209208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.311000,0.497667,-0.408535,0.222824,1.209247,1.209187,-1.209267,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.313000,0.497665,-0.408525,0.222829,1.209223,1.209196,-1.209218,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.315000,0.497660,-0.408523,0.222832,1.209265,1.209163,-1.209253,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.317000,0.497670,-0.408523,0.222826,1.209255,1.209187,-1.209278,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.319000,0.497670,-0.408524,0.222832,1.209252,1.209160,-1.209215,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.321000,0.497662,-0.408513,0.222809,1.209221,1.209231,-1.209263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.323000,0.497678,-0.408524,0.222828,1.209256,1.209160,-1.209236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.325000,0.497668,-0.408535,0.222832,1.209255,1.209168,-1.209252,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.327000,0.497673,-0.408520,0.222810,1.209199,1.209247,-1.209253,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.329000,0.497678,-0.408524,0.222845,1.209248,1.209144,-1.209187,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.331000,0.497660,-0.408529,0.222815,1.209223,1.209206,-1.209241,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.333000,0.497674,-0.408518,0.222823,1.209228,1.209202,-1.209246,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.335000,0.497664,-0.408527,0.222839,1.209256,1.209157,-1.209227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.337000,0.497688,-0.408521,0.222834,1.209237,1.209179,-1.209223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1457.339000,0.497689,-0.408510,0.222847,1.209231,1.209155,-1.209169,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
