1.000000e-01,-5.000000e-02
1.000000e-01,-5.000000e-02
1.004993e-01,-5.014255e-02
1.009987e-01,-5.028510e-02
1.014672e-01,-5.033749e-02
1.018437e-01,-5.028253e-02
1.021610e-01,-5.016286e-02
1.024529e-01,-5.003183e-02
1.027365e-01,-4.991795e-02
1.030157e-01,-4.982632e-02
1.032891e-01,-4.975140e-02
1.035547e-01,-4.968593e-02
1.038108e-01,-4.962474e-02
1.040568e-01,-4.956523e-02
1.042929e-01,-4.950670e-02
1.045194e-01,-4.944929e-02
1.047367e-01,-4.939335e-02
1.049453e-01,-4.933942e-02
1.051456e-01,-4.928765e-02
1.053379e-01,-4.923815e-02
1.055226e-01,-4.919091e-02
1.057000e-01,-4.914592e-02
1.058703e-01,-4.910308e-02
1.060339e-01,-4.906229e-02
1.061909e-01,-4.902344e-02
1.063417e-01,-4.898643e-02
1.064865e-01,-4.895118e-02
1.066254e-01,-4.891761e-02
1.067587e-01,-4.888568e-02
1.068867e-01,-4.885531e-02
1.070096e-01,-4.882646e-02
1.071275e-01,-4.879906e-02
1.072407e-01,-4.877308e-02
1.073493e-01,-4.874845e-02
1.074536e-01,-4.872512e-02
1.075537e-01,-4.870305e-02
1.076498e-01,-4.868218e-02
1.077421e-01,-4.866246e-02
1.078307e-01,-4.864386e-02
1.079158e-01,-4.862631e-02
1.079975e-01,-4.860977e-02
1.080760e-01,-4.859419e-02
1.081513e-01,-4.857953e-02
1.082238e-01,-4.856573e-02
1.082933e-01,-4.855276e-02
1.083602e-01,-4.854056e-02
1.084244e-01,-4.852912e-02
1.084862e-01,-4.851838e-02
1.085455e-01,-4.850831e-02
1.086026e-01,-4.849889e-02
1.086575e-01,-4.849008e-02
1.087103e-01,-4.848184e-02
1.087611e-01,-4.847416e-02
1.088100e-01,-4.846699e-02
1.088570e-01,-4.846032e-02
1.089023e-01,-4.845411e-02
1.089459e-01,-4.844834e-02
1.089879e-01,-4.844299e-02
1.090283e-01,-4.843803e-02
1.090673e-01,-4.843346e-02
1.091049e-01,-4.842924e-02
1.091411e-01,-4.842535e-02
1.091760e-01,-4.842178e-02
1.092097e-01,-4.841851e-02
1.092423e-01,-4.841551e-02
1.092736e-01,-4.841278e-02
1.093040e-01,-4.841029e-02
1.093332e-01,-4.840804e-02
1.093615e-01,-4.840601e-02
1.093888e-01,-4.840417e-02
1.094153e-01,-4.840252e-02
1.094408e-01,-4.840104e-02
1.094656e-01,-4.839972e-02
1.094895e-01,-4.839854e-02
1.095127e-01,-4.839750e-02
1.095352e-01,-4.839659e-02
1.095569e-01,-4.839580e-02
1.095781e-01,-4.839512e-02
1.095985e-01,-4.839454e-02
1.096184e-01,-4.839406e-02
1.096377e-01,-4.839367e-02
1.096564e-01,-4.839336e-02
1.096746e-01,-4.839312e-02
1.096923e-01,-4.839296e-02
1.097095e-01,-4.839287e-02
1.097263e-01,-4.839284e-02
1.097426e-01,-4.839289e-02
1.097584e-01,-4.839299e-02
1.097739e-01,-4.839315e-02
1.097889e-01,-4.839334e-02
1.098036e-01,-4.839359e-02
1.098179e-01,-4.839387e-02
1.098318e-01,-4.839418e-02
1.098454e-01,-4.839450e-02
1.098587e-01,-4.839486e-02
1.098717e-01,-4.839523e-02
1.098844e-01,-4.839561e-02
1.098968e-01,-4.839601e-02
1.099089e-01,-4.839643e-02
1.099208e-01,-4.839688e-02
1.099324e-01,-4.839732e-02
1.099438e-01,-4.839777e-02
1.099549e-01,-4.839821e-02
1.099658e-01,-4.839866e-02
1.099765e-01,-4.839911e-02
1.099870e-01,-4.839956e-02
1.099973e-01,-4.840003e-02
1.100074e-01,-4.840051e-02
1.100174e-01,-4.840098e-02
1.100271e-01,-4.840142e-02
1.100367e-01,-4.840186e-02
1.100461e-01,-4.840228e-02
1.100554e-01,-4.840269e-02
1.100645e-01,-4.840310e-02
1.100735e-01,-4.840348e-02
1.100823e-01,-4.840383e-02
1.100910e-01,-4.840415e-02
1.100996e-01,-4.840444e-02
1.101081e-01,-4.840470e-02
1.101164e-01,-4.840494e-02
1.101247e-01,-4.840517e-02
1.101328e-01,-4.840538e-02
1.101408e-01,-4.840559e-02
1.101487e-01,-4.840578e-02
1.101565e-01,-4.840596e-02
1.101642e-01,-4.840613e-02
1.101718e-01,-4.840628e-02
1.101793e-01,-4.840642e-02
1.101868e-01,-4.840654e-02
1.101941e-01,-4.840664e-02
1.102014e-01,-4.840673e-02
1.102087e-01,-4.840681e-02
1.102158e-01,-4.840687e-02
1.102229e-01,-4.840691e-02
1.102299e-01,-4.840694e-02
1.102369e-01,-4.840696e-02
1.102437e-01,-4.840696e-02
1.102505e-01,-4.840695e-02
1.102572e-01,-4.840693e-02
1.102639e-01,-4.840690e-02
1.102705e-01,-4.840686e-02
1.102770e-01,-4.840681e-02
1.102834e-01,-4.840675e-02
1.102898e-01,-4.840668e-02
1.102962e-01,-4.840658e-02
1.103025e-01,-4.840643e-02
1.103087e-01,-4.840625e-02
1.103150e-01,-4.840603e-02
1.103212e-01,-4.840577e-02
1.103274e-01,-4.840547e-02
1.103335e-01,-4.840513e-02
1.103397e-01,-4.840475e-02
1.103457e-01,-4.840433e-02
1.103518e-01,-4.840387e-02
1.103578e-01,-4.840338e-02
1.103638e-01,-4.840284e-02
1.103698e-01,-4.840227e-02
1.103757e-01,-4.840167e-02
1.103816e-01,-4.840103e-02
1.103875e-01,-4.840036e-02
1.103934e-01,-4.839966e-02
1.103992e-01,-4.839892e-02
1.104050e-01,-4.839817e-02
1.104108e-01,-4.839741e-02
1.104165e-01,-4.839663e-02
1.104223e-01,-4.839584e-02
1.104280e-01,-4.839504e-02
1.104338e-01,-4.839422e-02
1.104394e-01,-4.839340e-02
1.104451e-01,-4.839255e-02
1.104508e-01,-4.839170e-02
1.104564e-01,-4.839083e-02
1.104621e-01,-4.838995e-02
1.104677e-01,-4.838906e-02
1.104733e-01,-4.838815e-02
1.104788e-01,-4.838724e-02
1.104844e-01,-4.838631e-02
1.104899e-01,-4.838537e-02
1.104954e-01,-4.838442e-02
1.105009e-01,-4.838346e-02
1.105064e-01,-4.838248e-02
1.105119e-01,-4.838150e-02
1.105173e-01,-4.838050e-02
1.105227e-01,-4.837950e-02
1.105281e-01,-4.837848e-02
1.105335e-01,-4.837745e-02
1.105389e-01,-4.837642e-02
1.105443e-01,-4.837538e-02
1.105496e-01,-4.837432e-02
1.105549e-01,-4.837326e-02
1.105602e-01,-4.837219e-02
1.105655e-01,-4.837111e-02
1.105708e-01,-4.837003e-02
1.105760e-01,-4.836894e-02
1.105812e-01,-4.836784e-02
1.105864e-01,-4.836673e-02
1.105916e-01,-4.836562e-02
1.105968e-01,-4.836451e-02
1.106020e-01,-4.836339e-02
1.106071e-01,-4.836226e-02
1.106122e-01,-4.836113e-02
1.106173e-01,-4.836000e-02
1.106224e-01,-4.835886e-02
1.106275e-01,-4.835772e-02
1.106326e-01,-4.835658e-02
1.106376e-01,-4.835543e-02
1.106426e-01,-4.835429e-02
1.106476e-01,-4.835314e-02
1.106526e-01,-4.835200e-02
1.106576e-01,-4.835085e-02
1.106625e-01,-4.834970e-02
1.106674e-01,-4.834856e-02
1.106723e-01,-4.834742e-02
1.106772e-01,-4.834628e-02
1.106821e-01,-4.834514e-02
1.106870e-01,-4.834400e-02
1.106918e-01,-4.834287e-02
1.106966e-01,-4.834174e-02
1.107014e-01,-4.834062e-02
1.107062e-01,-4.833950e-02
1.107110e-01,-4.833839e-02
1.107157e-01,-4.833729e-02
1.107204e-01,-4.833619e-02
1.107251e-01,-4.833510e-02
1.107298e-01,-4.833401e-02
1.107345e-01,-4.833294e-02
1.107391e-01,-4.833187e-02
1.107437e-01,-4.833081e-02
1.107483e-01,-4.832976e-02
1.107529e-01,-4.832872e-02
1.107574e-01,-4.832769e-02
1.107620e-01,-4.832667e-02
1.107665e-01,-4.832566e-02
1.107710e-01,-4.832467e-02
1.107754e-01,-4.832368e-02
1.107799e-01,-4.832271e-02
1.107843e-01,-4.832175e-02
1.107887e-01,-4.832081e-02
1.107930e-01,-4.831987e-02
1.107974e-01,-4.831896e-02
1.108017e-01,-4.831805e-02
1.108059e-01,-4.831716e-02
1.108102e-01,-4.831629e-02
1.108144e-01,-4.831542e-02
1.108186e-01,-4.831458e-02
1.108228e-01,-4.831375e-02
1.108269e-01,-4.831294e-02
1.108310e-01,-4.831214e-02
1.108351e-01,-4.831136e-02
1.108392e-01,-4.831059e-02
1.108432e-01,-4.830984e-02
1.108472e-01,-4.830911e-02
1.108511e-01,-4.830840e-02
1.108551e-01,-4.830770e-02
1.108590e-01,-4.830703e-02
1.108628e-01,-4.830636e-02
1.108666e-01,-4.830572e-02
1.108704e-01,-4.830510e-02
1.108742e-01,-4.830449e-02
1.108779e-01,-4.830390e-02
1.108816e-01,-4.830333e-02
1.108852e-01,-4.830278e-02
1.108888e-01,-4.830225e-02
1.108924e-01,-4.830174e-02
1.108959e-01,-4.830124e-02
1.108994e-01,-4.830076e-02
1.109029e-01,-4.830031e-02
1.109063e-01,-4.829987e-02
1.109096e-01,-4.829945e-02
1.109130e-01,-4.829905e-02
1.109162e-01,-4.829867e-02
1.109195e-01,-4.829831e-02
1.109227e-01,-4.829797e-02
1.109258e-01,-4.829764e-02
1.109289e-01,-4.829734e-02
1.109320e-01,-4.829705e-02
1.109350e-01,-4.829679e-02
1.109380e-01,-4.829654e-02
1.109409e-01,-4.829631e-02
1.109438e-01,-4.829610e-02
1.109466e-01,-4.829591e-02
1.109494e-01,-4.829574e-02
1.109521e-01,-4.829559e-02
1.109548e-01,-4.829545e-02
1.109575e-01,-4.829534e-02
1.109601e-01,-4.829524e-02
1.109626e-01,-4.829517e-02
1.109651e-01,-4.829511e-02
1.109675e-01,-4.829507e-02
1.109699e-01,-4.829504e-02
1.109722e-01,-4.829504e-02
1.109745e-01,-4.829505e-02
1.109768e-01,-4.829508e-02
1.109789e-01,-4.829513e-02
1.109811e-01,-4.829520e-02
1.109831e-01,-4.829529e-02
1.109852e-01,-4.829539e-02
1.109871e-01,-4.829551e-02
1.109890e-01,-4.829564e-02
1.109909e-01,-4.829580e-02
1.109927e-01,-4.829597e-02
1.109945e-01,-4.829616e-02
1.109961e-01,-4.829636e-02
1.109978e-01,-4.829658e-02
1.109994e-01,-4.829682e-02
1.110009e-01,-4.829707e-02
1.110024e-01,-4.829734e-02
1.110038e-01,-4.829763e-02
1.110052e-01,-4.829793e-02
1.110065e-01,-4.829824e-02
1.110077e-01,-4.829857e-02
1.110090e-01,-4.829892e-02
1.110101e-01,-4.829928e-02
1.110112e-01,-4.829965e-02
1.110122e-01,-4.830004e-02
1.110132e-01,-4.830044e-02
1.110141e-01,-4.830086e-02
1.110150e-01,-4.830129e-02
